exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
5,inf_non,inf,non,17,верблюд,Y,Y5,верблюд,1,3645
5,inf_non,inf,non,20,календарь,Y,Y5,календарь,1,940
5,inf_non,inf,non,29,багажник,Y,Y5,багажник,1,1193
5,inf_non,inf,non,41,жалюзи,Y,Y5,жалюзи,1,8057
5,inf_non,inf,non,39,ракетка,Y,Y5,ракетка,1,2695
5,inf_non,inf,non,46,шахматы,Y,Y5,шахматы,1,1350
5,inf_non,inf,non,50,степлер,Y,Y5,степлер,1,962
5,inf_non,inf,non,59,автобус,Y,Y5,автобус,1,3362
5,inf_non,inf,non,64,страус,Y,Y5,павлин,2,18820
5,inf_non,inf,non,69,мочалка,Y,Y5,,3,
5,inf_non,inf,non,75,самокат,Y,Y5,самокат,1,1004
5,inf_let,inf,let,10,коридор,Y,Y5,коридор,1,1256
5,inf_let,inf,let,3,глобус,Y,Y5,глобус,1,1307
5,inf_let,inf,let,11,подбородок,Y,Y5,подбородок,1,3320
5,inf_let,inf,let,21,трон,Y,Y5,трон,1,1003
5,inf_let,inf,let,26,форточка,Y,Y5,форточка,1,2259
5,inf_let,inf,let,27,намордник,Y,Y5,намордник,1,1946
5,inf_let,inf,let,42,салфетка,Y,Y5,салфетка,1,1445
5,inf_let,inf,let,43,водопад,Y,Y5,водопад,1,1284
5,inf_let,inf,let,51,иллюминатор,Y,Y5,иллюминатор,1,3519
5,inf_let,inf,let,53,наручники,Y,Y5,наручники,1,938
5,inf_let,inf,let,66,кенгуру,Y,Y5,кенгуру,1,1428
5,inf_let,inf,let,68,удочка,Y,Y5,удочка,1,932
5,inf_let,inf,let,76,антенна,Y,Y5,антенна,1,1507
5,inf_col,inf,col,13,перекресток,Y,Y5,перекресток,1,4952
5,inf_col,inf,col,9,шлагбаум,Y,Y5,шлагбаум,1,5466
5,inf_col,inf,col,15,венок,Y,Y5,венок,1,4856
5,inf_col,inf,col,23,маяк,Y,Y5,маяк,1,1751
5,inf_col,inf,col,28,термос,Y,Y5,термос,1,4414
5,inf_col,inf,col,32,якорь,Y,Y5,якорь,1,1118
5,inf_col,inf,col,34,шишка,Y,Y5,шишка,1,9370
5,inf_col,inf,col,47,фартук,Y,Y5,фартук,1,7744
5,inf_col,inf,col,49,троллейбус,Y,Y5,троллейбус,1,9487
5,inf_col,inf,col,57,осьминог,Y,Y5,осьминог,1,8570
5,inf_col,inf,col,56,череп,Y,Y5,череп,1,1331
5,inf_col,inf,col,72,выключатель,Y,Y5,выключатель,1,10014
5,inf_col,inf,col,78,метла,Y,Y5,метла,1,15070
6,ref_non,ref,non,8,невеста,Y,Y6,невеста,1,1241
6,ref_non,ref,non,35,шприц,Y,Y6,шприц,1,699
6,ref_non,ref,non,6,аквариум,Y,Y6,аквариум,1,758
